game_title,game_summary,game_score
"

PortalCompanionCollection

","
IncludingPortalandPortal2,theCompanionCollectioncomestoNintendoSwitch™withallthegroundbreakinggameplay,darkhumor,andexplorationthatearnedtheserieshundredsofawards.InPortal,you’lluseahighlyexperimentalportaldevicetosolvephysicalpuzzlesandchallenges.Maneuverobjects--andyourself--throughspacetopuzzleyourwaythroughthemysteriousApertureScienceLaboratories.

ReturntoApertureLaboratoriesinPortal2whereyou’llonceagainfaceoffwiththelethallyinventive,power-madA.I.namedGLaDOS.Meetanexpandedcastofcharactersasyouthinkyourwaythroughdangerous,never-before-seenareasofthelaboratoriesandawidervarietyofportalpuzzles.PlusPortal2alsoincludesaco-operativegamemodewithlocal,split-screenandonlinemultiplayersoyouandafriendcanthinkwithportals.
",95
"

TheStanleyParable:UltraDeluxe

","
TheStanleyParable:UltraDeluxeisanexpandedre-imaginingof2013'sTheStanleyParable.YouwillplayasStanley,andyouwillnotplayasStanley.Youwillmakeachoice,andyouwillbecomepowerless.Youarenotheretowin.TheStanleyParableisagamethatplaysyou.
",93
"

CupheadintheDeliciousLastCourse

","
AnotherhelpingofclassicCupheadactionawaitsyouinCuphead-TheDeliciousLastCourse!BrothersCupheadandMugmanarejoinedbytheclever,adventurousMs.ChaliceforarollickingadventureonapreviouslyundiscoveredInkwellIsle!Withtheaidofnewweapons,magicalcharms,andMs.Chalice’suniqueabilities,playerswilltakeonanewcastoffearsome,largerthanlifebossestoassistthejollyChefSaltbakerinCuphead’sfinalchallengingquest!
",92
"

RogueLegacy2

","
RogueLegacy2iswhatyou'dgetifyoumashedRogueLegacyandasequeltogether.Everytimeyoudie,yourchildrenwillsucceedyou,andeachchildisunique.YourdaughtermightbeaColourblindArcher,andyoursoncouldbeaPacifisticChef.Eitherway,oneofthemisgettingconscripted.
",90
"

TheStanleyParable:UltraDeluxe

","
TheStanleyParable:UltraDeluxeisanexpandedre-imaginingof2013'sTheStanleyParable.YouwillplayasStanley,andyouwillnotplayasStanley.Youwillmakeachoice,andyouwillbecomepowerless.Youarenotheretowin.TheStanleyParableisagamethatplaysyou.
",90
"

NeonWhite

","
NeonWhiteisalightningfastfirst-personactiongameaboutexterminatingdemonsinHeaven.YouareWhite,anassassinhandpickedfromHelltocompetewithotherdemonslayersforachancetolivepermanentlyinHeaven.Theotherassassinsseemfamiliar,though…didyouknowtheminapastlife?

Features:
•YouplayasNeonWhite,anassassinpluckedfromHelltocompetewithotherdemonslayersforashotatredemption.
•Collect“SoulCards”toattackyourfoesordiscardthemtouseuniquemovementabilities.
•Competeforthebesttimesbycleverlycombiningcardstodiscovermassiveshortcuts.
•UncoverHeaven’smysteriesbygettingtoknowtheotherassassins…didyouknowtheminapastlife?
",89
"

CupheadintheDeliciousLastCourse

","
AnotherhelpingofclassicCupheadactionawaitsyouinCuphead-TheDeliciousLastCourse!BrothersCupheadandMugmanarejoinedbytheclever,adventurousMs.ChaliceforarollickingadventureonapreviouslyundiscoveredInkwellIsle!Withtheaidofnewweapons,magicalcharms,andMs.Chalice’suniqueabilities,playerswilltakeonanewcastoffearsome,largerthanlifebossestoassistthejollyChefSaltbakerinCuphead’sfinalchallengingquest!
",89
"

NeonWhite

","
NeonWhiteisalightningfastfirst-personactiongameaboutexterminatingdemonsinHeaven.YouareWhite,anassassinhandpickedfromHelltocompetewithotherdemonslayersforachancetolivepermanentlyinHeaven.Theotherassassinsseemfamiliar,though…didyouknowtheminapastlife?

Features:
•YouplayasNeonWhite,anassassinpluckedfromHelltocompetewithotherdemonslayersforashotatredemption.
•Collect“SoulCards”toattackyourfoesordiscardthemtouseuniquemovementabilities.
•Competeforthebesttimesbycleverlycombiningcardstodiscovermassiveshortcuts.
•UncoverHeaven’smysteriesbygettingtoknowtheotherassassins…didyouknowtheminapastlife?
",89
"

TheStanleyParable:UltraDeluxe

","
TheStanleyParable:UltraDeluxeisanexpandedre-imaginingof2013'sTheStanleyParable.YouwillplayasStanley,andyouwillnotplayasStanley.Youwillmakeachoice,andyouwillbecomepowerless.Youarenotheretowin.TheStanleyParableisagamethatplaysyou.
",89
"

AI:TheSomniumFiles-nirvanAInitiative

","
Sixyearsago,therighthalfofacorpsewasdiscoveredundermysteriouscircumstances.Thelefthalfwasneverfound...untilsixyearslater,whenitwasdiscoveredcompletelyfreshwithnosignsofdecay,asthoughthevictimwasaliveuntiljustrecently.Now,newly-appointedSpecialAgentMizukiandherAIpartnerAibaaretaskedtosolvethebizarreHalfBodyserialkillings...
",88
